year,month,period,district_cn,district_en,headcount,hour,zone
2026,7,04:00,黑沙環新填海區,Novos Aterros da Areia Preta,1381,4,Macau Peninsula
2026,7,04:00,望廈及水塘區,Móng Há & Reservatório,826,4,Macau Peninsula
2026,7,04:00,外港及南灣湖新填海區,Novos Aterros do Porto Exterior & Aterros da Baía da Praia Grande,10185,4,Macau Peninsula
2026,7,04:00,路氹填海區,COTAI Reclamation Area,61063,4,Taipa & Cotai
2026,7,04:00,黑沙環及祐漢區,Areia Preta & Iao Hon,1641,4,Macau Peninsula
2026,7,04:00,下環區,Barra/Manduco,2513,4,Macau Peninsula
2026,7,04:00,荷蘭園區,Conselheiro Ferreira de Almeida,832,4,Macau Peninsula
2026,7,04:00,林茂塘區,Doca do Lamau,511,4,Macau Peninsula
2026,7,04:00,沙梨頭及大三巴區,Patane & São Paulo,2704,4,Macau Peninsula
2026,7,04:00,新口岸區,Zona de Aterros do Porto Exterior,13563,4,Macau Peninsula
2026,7,04:00,高士德及雅廉訪區,Horta e Costa & Ouvidor Arriaga,662,4,Macau Peninsula
2026,7,04:00,筷子基區,Fai Chi Kei,459,4,Macau Peninsula
2026,7,04:00,氹仔舊城及馬場區,Cidade & Hipódromo da Taipa,3964,4,Taipa & Cotai
2026,7,04:00,路環區,Coloane,1606,4,Coloane
2026,7,04:00,北安及大潭山區,Pac On & Taipa Grande,2785,4,Taipa & Cotai
2026,7,04:00,青洲區,Ilha Verde,301,4,Macau Peninsula
2026,7,04:00,南西灣及主教山區,Praia Grande & Penha,1244,4,Macau Peninsula
2026,7,04:00,海洋及小潭山區,Jardins do Oceano & Taipa Pequena,401,4,Taipa & Cotai
2026,7,04:00,東望洋區(松山區),Ferreira do Amaral (Guia),399,4,Macau Peninsula
2026,7,04:00,大學及北安灣區,Universidade & Baía de Pac On,276,4,Taipa & Cotai
2026,7,05:00,新橋區,Barca,1144,5,Macau Peninsula
2026,7,05:00,中區,Baixa de Macau,5231,5,Macau Peninsula
2026,7,05:00,氹仔中心區,Baixa da Taipa,4296,5,Taipa & Cotai
2026,7,05:00,台山區,Tamagnini Barbosa,1483,5,Macau Peninsula
2026,7,05:00,黑沙環新填海區,Novos Aterros da Areia Preta,1362,5,Macau Peninsula
2026,7,05:00,望廈及水塘區,Móng Há & Reservatório,829,5,Macau Peninsula
2026,7,05:00,外港及南灣湖新填海區,Novos Aterros do Porto Exterior & Aterros da Baía da Praia Grande,9750,5,Macau Peninsula
2026,7,05:00,路氹填海區,COTAI Reclamation Area,60450,5,Taipa & Cotai
2026,7,05:00,黑沙環及祐漢區,Areia Preta & Iao Hon,1655,5,Macau Peninsula
2026,7,05:00,下環區,Barra/Manduco,2530,5,Macau Peninsula
2026,7,05:00,荷蘭園區,Conselheiro Ferreira de Almeida,836,5,Macau Peninsula
2026,7,05:00,林茂塘區,Doca do Lamau,518,5,Macau Peninsula
2026,7,05:00,沙梨頭及大三巴區,Patane & São Paulo,2729,5,Macau Peninsula
2026,7,05:00,新口岸區,Zona de Aterros do Porto Exterior,13688,5,Macau Peninsula
2026,7,05:00,高士德及雅廉訪區,Horta e Costa & Ouvidor Arriaga,672,5,Macau Peninsula
2026,7,05:00,筷子基區,Fai Chi Kei,455,5,Macau Peninsula
