year,month,hour,period,district_cn,district_en,zone,headcount,month_total_arrivals,daily_bus_departures,departures_share_pct,supply_demand_ratio
2026,7,2,02:00,海洋及小潭山區,Jardins do Oceano & Taipa Pequena,Taipa & Cotai,459,3542218.0,66570.0,28.42,0.507
2026,7,2,02:00,東望洋區(松山區),Ferreira do Amaral (Guia),Macau Peninsula,404,3542218.0,155940.0,66.58,1.577
2026,7,2,02:00,大學及北安灣區,Universidade & Baía de Pac On,Taipa & Cotai,262,3542218.0,66570.0,28.42,0.507
2026,7,3,03:00,新橋區,Barca,Macau Peninsula,1153,3542218.0,155940.0,66.58,1.577
2026,7,3,03:00,中區,Baixa de Macau,Macau Peninsula,5659,3542218.0,155940.0,66.58,1.577
2026,7,3,03:00,氹仔中心區,Baixa da Taipa,Taipa & Cotai,4431,3542218.0,66570.0,28.42,0.507
2026,7,3,03:00,台山區,Tamagnini Barbosa,Macau Peninsula,1522,3542218.0,155940.0,66.58,1.577
2026,7,3,03:00,黑沙環新填海區,Novos Aterros da Areia Preta,Macau Peninsula,1426,3542218.0,155940.0,66.58,1.577
2026,7,3,03:00,望廈及水塘區,Móng Há & Reservatório,Macau Peninsula,837,3542218.0,155940.0,66.58,1.577
2026,7,3,03:00,外港及南灣湖新填海區,Novos Aterros do Porto Exterior & Aterros da Baía da Praia Grande,Macau Peninsula,10658,3542218.0,155940.0,66.58,1.577
2026,7,3,03:00,路氹填海區,COTAI Reclamation Area,Taipa & Cotai,61582,3542218.0,66570.0,28.42,0.507
2026,7,3,03:00,黑沙環及祐漢區,Areia Preta & Iao Hon,Macau Peninsula,1632,3542218.0,155940.0,66.58,1.577
2026,7,3,03:00,下環區,Barra/Manduco,Macau Peninsula,2522,3542218.0,155940.0,66.58,1.577
2026,7,3,03:00,荷蘭園區,Conselheiro Ferreira de Almeida,Macau Peninsula,830,3542218.0,155940.0,66.58,1.577
2026,7,3,03:00,林茂塘區,Doca do Lamau,Macau Peninsula,512,3542218.0,155940.0,66.58,1.577
2026,7,3,03:00,沙梨頭及大三巴區,Patane & São Paulo,Macau Peninsula,2713,3542218.0,155940.0,66.58,1.577
2026,7,3,03:00,新口岸區,Zona de Aterros do Porto Exterior,Macau Peninsula,13333,3542218.0,155940.0,66.58,1.577
2026,7,3,03:00,高士德及雅廉訪區,Horta e Costa & Ouvidor Arriaga,Macau Peninsula,658,3542218.0,155940.0,66.58,1.577
2026,7,3,03:00,筷子基區,Fai Chi Kei,Macau Peninsula,475,3542218.0,155940.0,66.58,1.577
2026,7,3,03:00,氹仔舊城及馬場區,Cidade & Hipódromo da Taipa,Taipa & Cotai,4063,3542218.0,66570.0,28.42,0.507
2026,7,3,03:00,路環區,Coloane,Coloane,1636,3542218.0,11693.0,4.99,2.988
2026,7,3,03:00,北安及大潭山區,Pac On & Taipa Grande,Taipa & Cotai,2848,3542218.0,66570.0,28.42,0.507
2026,7,3,03:00,青洲區,Ilha Verde,Macau Peninsula,304,3542218.0,155940.0,66.58,1.577
2026,7,3,03:00,南西灣及主教山區,Praia Grande & Penha,Macau Peninsula,1233,3542218.0,155940.0,66.58,1.577
2026,7,3,03:00,海洋及小潭山區,Jardins do Oceano & Taipa Pequena,Taipa & Cotai,423,3542218.0,66570.0,28.42,0.507
2026,7,3,03:00,東望洋區(松山區),Ferreira do Amaral (Guia),Macau Peninsula,403,3542218.0,155940.0,66.58,1.577
2026,7,3,03:00,大學及北安灣區,Universidade & Baía de Pac On,Taipa & Cotai,271,3542218.0,66570.0,28.42,0.507
2026,7,4,04:00,新橋區,Barca,Macau Peninsula,1149,3542218.0,155940.0,66.58,1.577
2026,7,4,04:00,中區,Baixa de Macau,Macau Peninsula,5421,3542218.0,155940.0,66.58,1.577
2026,7,4,04:00,氹仔中心區,Baixa da Taipa,Taipa & Cotai,4334,3542218.0,66570.0,28.42,0.507
2026,7,4,04:00,台山區,Tamagnini Barbosa,Macau Peninsula,1501,3542218.0,155940.0,66.58,1.577
2026,7,4,04:00,黑沙環新填海區,Novos Aterros da Areia Preta,Macau Peninsula,1381,3542218.0,155940.0,66.58,1.577
2026,7,4,04:00,望廈及水塘區,Móng Há & Reservatório,Macau Peninsula,826,3542218.0,155940.0,66.58,1.577
2026,7,4,04:00,外港及南灣湖新填海區,Novos Aterros do Porto Exterior & Aterros da Baía da Praia Grande,Macau Peninsula,10185,3542218.0,155940.0,66.58,1.577
2026,7,4,04:00,路氹填海區,COTAI Reclamation Area,Taipa & Cotai,61063,3542218.0,66570.0,28.42,0.507
2026,7,4,04:00,黑沙環及祐漢區,Areia Preta & Iao Hon,Macau Peninsula,1641,3542218.0,155940.0,66.58,1.577
2026,7,4,04:00,下環區,Barra/Manduco,Macau Peninsula,2513,3542218.0,155940.0,66.58,1.577
2026,7,4,04:00,荷蘭園區,Conselheiro Ferreira de Almeida,Macau Peninsula,832,3542218.0,155940.0,66.58,1.577
