year,month,period,district_cn,district_en,headcount,hour,zone
2023,12,05:00,路環區,Coloane,884,5,Coloane
2023,12,05:00,北安及大潭山區,Pac On & Taipa Grande,2143,5,Taipa & Cotai
2023,12,05:00,青洲區,Ilha Verde,200,5,Macau Peninsula
2023,12,05:00,南西灣及主教山區,Praia Grande & Penha,719,5,Macau Peninsula
2023,12,05:00,海洋及小潭山區,Jardins do Oceano & Taipa Pequena,244,5,Taipa & Cotai
2023,12,05:00,東望洋區(松山區),Ferreira do Amaral (Guia),250,5,Macau Peninsula
2023,12,05:00,大學及北安灣區,Universidade & Baía de Pac On,201,5,Taipa & Cotai
2023,12,06:00,新橋區,Barca,1028,6,Macau Peninsula
2023,12,06:00,中區,Baixa de Macau,4869,6,Macau Peninsula
2023,12,06:00,氹仔中心區,Baixa da Taipa,3108,6,Taipa & Cotai
2023,12,06:00,台山區,Tamagnini Barbosa,1050,6,Macau Peninsula
2023,12,06:00,黑沙環新填海區,Novos Aterros da Areia Preta,1065,6,Macau Peninsula
2023,12,06:00,望廈及水塘區,Móng Há & Reservatório,550,6,Macau Peninsula
2023,12,06:00,外港及南灣湖新填海區,Novos Aterros do Porto Exterior & Aterros da Baía da Praia Grande,6331,6,Macau Peninsula
2023,12,06:00,路氹填海區,COTAI Reclamation Area,50999,6,Taipa & Cotai
2023,12,06:00,黑沙環及祐漢區,Areia Preta & Iao Hon,1012,6,Macau Peninsula
2023,12,06:00,下環區,Barra/Manduco,2372,6,Macau Peninsula
2023,12,06:00,荷蘭園區,Conselheiro Ferreira de Almeida,725,6,Macau Peninsula
2023,12,06:00,林茂塘區,Doca do Lamau,438,6,Macau Peninsula
2023,12,06:00,沙梨頭及大三巴區,Patane & São Paulo,2360,6,Macau Peninsula
2023,12,06:00,新口岸區,Zona de Aterros do Porto Exterior,10744,6,Macau Peninsula
2023,12,06:00,高士德及雅廉訪區,Horta e Costa & Ouvidor Arriaga,537,6,Macau Peninsula
2023,12,06:00,筷子基區,Fai Chi Kei,405,6,Macau Peninsula
2023,12,06:00,氹仔舊城及馬場區,Cidade & Hipódromo da Taipa,2113,6,Taipa & Cotai
2023,12,06:00,路環區,Coloane,890,6,Coloane
2023,12,06:00,北安及大潭山區,Pac On & Taipa Grande,2151,6,Taipa & Cotai
2023,12,06:00,青洲區,Ilha Verde,200,6,Macau Peninsula
2023,12,06:00,南西灣及主教山區,Praia Grande & Penha,729,6,Macau Peninsula
2023,12,06:00,海洋及小潭山區,Jardins do Oceano & Taipa Pequena,235,6,Taipa & Cotai
2023,12,06:00,東望洋區(松山區),Ferreira do Amaral (Guia),253,6,Macau Peninsula
2023,12,06:00,大學及北安灣區,Universidade & Baía de Pac On,205,6,Taipa & Cotai
2023,12,07:00,新橋區,Barca,1021,7,Macau Peninsula
2023,12,07:00,中區,Baixa de Macau,4883,7,Macau Peninsula
2023,12,07:00,氹仔中心區,Baixa da Taipa,3109,7,Taipa & Cotai
2023,12,07:00,台山區,Tamagnini Barbosa,1175,7,Macau Peninsula
2023,12,07:00,黑沙環新填海區,Novos Aterros da Areia Preta,1094,7,Macau Peninsula
2023,12,07:00,望廈及水塘區,Móng Há & Reservatório,582,7,Macau Peninsula
2023,12,07:00,外港及南灣湖新填海區,Novos Aterros do Porto Exterior & Aterros da Baía da Praia Grande,6202,7,Macau Peninsula
2023,12,07:00,路氹填海區,COTAI Reclamation Area,50884,7,Taipa & Cotai
2023,12,07:00,黑沙環及祐漢區,Areia Preta & Iao Hon,1172,7,Macau Peninsula
2023,12,07:00,下環區,Barra/Manduco,2399,7,Macau Peninsula
2023,12,07:00,荷蘭園區,Conselheiro Ferreira de Almeida,734,7,Macau Peninsula
2023,12,07:00,林茂塘區,Doca do Lamau,449,7,Macau Peninsula
2023,12,07:00,沙梨頭及大三巴區,Patane & São Paulo,2347,7,Macau Peninsula
2023,12,07:00,新口岸區,Zona de Aterros do Porto Exterior,10738,7,Macau Peninsula
2023,12,07:00,高士德及雅廉訪區,Horta e Costa & Ouvidor Arriaga,538,7,Macau Peninsula
2023,12,07:00,筷子基區,Fai Chi Kei,408,7,Macau Peninsula
2023,12,07:00,氹仔舊城及馬場區,Cidade & Hipódromo da Taipa,2231,7,Taipa & Cotai
2023,12,07:00,路環區,Coloane,906,7,Coloane
2023,12,07:00,北安及大潭山區,Pac On & Taipa Grande,2251,7,Taipa & Cotai
2023,12,07:00,青洲區,Ilha Verde,207,7,Macau Peninsula
2023,12,07:00,南西灣及主教山區,Praia Grande & Penha,712,7,Macau Peninsula
2023,12,07:00,海洋及小潭山區,Jardins do Oceano & Taipa Pequena,244,7,Taipa & Cotai
2023,12,07:00,東望洋區(松山區),Ferreira do Amaral (Guia),251,7,Macau Peninsula
