stop_code,zone,weekdays,weekends,holidays,code,nameCht,n_routes,lat,lng
M159_1,Macau Peninsula,717.0905362350734,658.4541725987096,569.1172981915029,M159_1,總統酒店,9,22.190085,113.546917
M15_1,Macau Peninsula,88.43434343434343,88.43434343434343,85.82222222222222,M15_1,台山中街,1,22.211447,113.545023
M160_1,Macau Peninsula,1170.2286657786658,1096.2915806415806,919.1119672597933,M160_1,十月一號前地,11,22.190862,113.546247
M160_2,Macau Peninsula,540.8461760461761,530.1681096681097,478.5637325637326,M160_2,十月一號前地,8,22.190919,113.546224
M161_1,Macau Peninsula,987.5815517815518,962.674913974914,917.01739001739,M161_1,高美士/利澳,10,22.192659,113.550184
M162_1,Macau Peninsula,199.43362193362194,180.82193362193362,189.59595959595958,M162_1,中華廣場,2,22.192692,113.542622
M163_1,Macau Peninsula,273.9935064935065,269.6103896103896,259.06397306397304,M163_1,賈羅布/葡京,2,22.190456,113.545091
M164_1,Macau Peninsula,379.550971411841,350.1964259572955,270.39730639730635,M164_1,加思欄馬路,6,22.191273,113.54501
M165_1,Macau Peninsula,426.3301921910617,426.43019219106174,368.3830206830206,M165_1,加思欄花園,5,22.192684,113.545202
M166_1,Macau Peninsula,215.12987012987014,215.12987012987014,178.75151515151515,M166_1,西坑街,2,22.188527,113.535739
M167_1,Macau Peninsula,651.5326452935149,647.1495284103979,581.6366041366041,M167_1,南灣大馬路/時代,6,22.192606,113.541436
M168_1,Macau Peninsula,883.3330781939477,849.5954158562854,803.8302591128678,M168_1,八角亭,10,22.192303,113.54394
M16_1,Macau Peninsula,854.0158658074618,854.0158658074618,859.226892574792,M16_1,提督馬路/雅廉訪,9,22.206635,113.545461
M16_2,Macau Peninsula,1120.810101010101,1103.0,1006.8984649810736,M16_2,提督馬路/雅廉訪,11,22.206413,113.545328
M170_1,Macau Peninsula,447.34271284271284,446.4644927021976,437.45164484638167,M170_1,殷皇子馬路,4,22.191621,113.541683
M170_2,Macau Peninsula,852.6463189456548,838.4177475170834,850.4633956597903,M170_2,殷皇子馬路,9,22.191489,113.54182
M171_1,Macau Peninsula,750.5107843137255,733.7107843137255,698.7541347541347,M171_1,中區/殷皇子馬路,7,22.191578,113.541531
M171_2,Macau Peninsula,560.4563471527418,560.4563471527418,550.5652791564107,M171_2,中區/殷皇子馬路,7,22.191632,113.541475
M172_1,Macau Peninsula,75.54367201426024,75.54367201426024,75.54367201426024,M172_1,亞馬喇前地,1,22.18925,113.543625
M172_10,Macau Peninsula,187.93939393939394,130.66666666666666,122.9090909090909,M172_10,亞馬喇前地,3,22.189194,113.543236
M172_11,Macau Peninsula,424.28484848484845,417.98989898989896,374.5027195027195,M172_11,亞馬喇前地,4,22.189142,113.543325
M172_12,Macau Peninsula,188.70165945165945,188.70165945165945,174.39285714285714,M172_12,亞馬喇前地,2,22.189357,113.543053
M172_13,Macau Peninsula,200.3380724538619,200.3380724538619,177.1952153110048,M172_13,亞馬喇前地,2,22.189244,113.543076
M172_14,Macau Peninsula,157.32063492063492,105.21212121212122,92.68774703557312,M172_14,亞馬喇前地,2,22.189113,113.543174
M172_15,Macau Peninsula,143.62842712842712,142.7502069879119,143.4626338573707,M172_15,亞馬喇前地,2,22.189117,113.543074
M172_16,Macau Peninsula,1025.861665527455,910.1854750512645,751.0232942369098,M172_16,亞馬喇前地,13,22.188935,113.543132
M172_17,Macau Peninsula,246.1007326007326,246.1007326007326,234.49584837820132,M172_17,亞馬喇前地,2,22.188991,113.543618
M172_2,Macau Peninsula,390.7713903743316,390.7713903743316,386.1105415052784,M172_2,亞馬喇前地,5,22.189366,113.543589
M172_3,Macau Peninsula,398.0035842293907,398.0035842293907,377.66936289516934,M172_3,亞馬喇前地,4,22.189476,113.543557
M172_4,Macau Peninsula,151.16161616161617,151.16161616161617,85.82222222222222,M172_4,亞馬喇前地,2,22.189445,113.543378
M172_5,Macau Peninsula,316.7207559465624,312.0843923101988,304.8379276637341,M172_5,亞馬喇前地,4,22.189353,113.543401
M172_6,Macau Peninsula,129.6153846153846,129.6153846153846,127.5,M172_6,亞馬喇前地,1,22.189233,113.543428
M172_7,Macau Peninsula,183.66666666666669,183.66666666666669,147.77777777777777,M172_7,亞馬喇前地,2,22.189331,113.543344
M172_8,Macau Peninsula,235.20634920634922,230.19624819624818,213.14285714285714,M172_8,亞馬喇前地,4,22.189434,113.543318
M172_9,Macau Peninsula,290.92139037433157,291.02139037433153,166.16666666666669,M172_9,亞馬喇前地,4,22.189399,113.543166
M173_1,Macau Peninsula,651.3075592684288,633.4974582583278,612.460002960003,M173_1,約翰四世大馬路,6,22.191947,113.542953
M173_2,Macau Peninsula,950.0102887308769,921.3380069064212,804.9764850948994,M173_2,約翰四世大馬路,8,22.191849,113.542834
M174_1,Macau Peninsula,160.97727272727272,156.59415584415584,148.36363636363637,M174_1,海事及水務局,2,22.187869,113.533014
M175_1,Macau Peninsula,215.12987012987014,215.12987012987014,178.75151515151515,M175_1,濠璟酒店,2,22.186167,113.536093
M176_1,Macau Peninsula,376.06313131313135,371.42676767676767,356.3393939393939,M176_1,初級法院刑事大樓,5,22.184534,113.537573
M177_1,Macau Peninsula,511.2820839978735,484.0123870281765,464.3207775428706,M177_1,澳門旅遊塔,7,22.180376,113.537724
M178_1,Macau Peninsula,293.49494949494954,288.85858585858585,281.6121212121212,M178_1,立法會前地,3,22.182975,113.539296
M179_1,Macau Peninsula,739.6832611832612,730.6637806637807,623.922077922078,M179_1,巴掌圍,9,22.190608,113.538893
M180_1,Macau Peninsula,376.10714285714283,371.72402597402595,327.1151515151515,M180_1,風順堂街,4,22.190454,113.536523
M181_1,Macau Peninsula,800.4332611832612,791.4137806637807,676.8311688311688,M181_1,燒灰爐,10,22.188531,113.5377
M182_1,Macau Peninsula,71.86642743221691,71.86642743221691,69.63794926004228,M182_1,旅遊塔/行車隧道,2,22.180144,113.536902
M182_2,Macau Peninsula,16.8,,,M182_2,旅遊塔/行車隧道,1,22.179941,113.536495
