"id","name","fileName","size","datasetUrl","downloadUrl"
"6c4ad68d-ac63-4c38-83fd-fd41cb3a98f9","酒店參考房價☯酒店参考房价☯Taxa Referencial de Hotel☯Hotel reference rate","dst_hotelroomrate.xml","23661","https://data.gov.mo/Detail?id=6c4ad68d-ac63-4c38-83fd-fd41cb3a98f9","https://api.data.gov.mo/document/download/6c4ad68d-ac63-4c38-83fd-fd41cb3a98f9?fileId=982&isNeedFile=1&lang=TC"
"6dafc514-7fc6-4d4e-9468-8772ba1c3b44","酒店/經濟型住宿場所/公寓式酒店資料☯酒店/经济型住宿场所/公寓式酒店资料☯Informações dos Hotéis/Alojamento de baixo custo/Hotéis-apartamentos☯Information of Hotels/Low-cost accommodation/Apartment hotels","dst_hotel.xml","25838","https://data.gov.mo/Detail?id=6dafc514-7fc6-4d4e-9468-8772ba1c3b44","https://api.data.gov.mo/document/download/6dafc514-7fc6-4d4e-9468-8772ba1c3b44?fileId=661&isNeedFile=1&lang=TC"
"73809a1a-3ed3-42ec-92c2-2e5ca5b196dd","備有輪椅停靠設備的巴士數量 ☯备有轮椅停靠设备的巴士数量 ☯Número de autocarros com lugares para cadeira de rodas☯Number of buses with space for wheelchair","Number_of_buses_with_space_for_wheelchair.xlsx","11350","https://data.gov.mo/Detail?id=73809a1a-3ed3-42ec-92c2-2e5ca5b196dd","https://api.data.gov.mo/document/download/73809a1a-3ed3-42ec-92c2-2e5ca5b196dd?fileId=1003&isNeedFile=1&lang=TC"
"7409434e-baa0-4343-8088-2b85b3e1ef24","澳門主要景點之無障礙旅遊設施列表☯澳门主要景点之无障碍旅游设施列表☯Guia de Turismo Livre de Barreiras - Pontos turísticos☯Barrier-Free Access Guide - Major Attractions","dst_barrierfree_sights.xml","31","https://data.gov.mo/Detail?id=7409434e-baa0-4343-8088-2b85b3e1ef24","https://api.data.gov.mo/document/download/7409434e-baa0-4343-8088-2b85b3e1ef24?fileId=1934&isNeedFile=1&lang=TC"
"76a3b004-418a-42aa-8cb7-7615874b3d23","暫停營業之旅行社列表☯暂停营业之旅行社列表☯Suspensão da actividade - agência de viagens☯Suspension of Business - Travel Agency","dst_tatempclosed.xml","31","https://data.gov.mo/Detail?id=76a3b004-418a-42aa-8cb7-7615874b3d23","https://api.data.gov.mo/document/download/76a3b004-418a-42aa-8cb7-7615874b3d23?fileId=1940&isNeedFile=1&lang=TC"
"785db3bb-2def-424e-9f68-348659ab63e2","訂定特定的澳門特別行政區居民可自橫琴口岸澳方口岸區進口的供個人自用或消費的貨物表☯订定特定的澳门特别行政区居民可自横琴口岸澳方口岸区进口的供个人自用或消费的货物表☯Definir a tabela específica de mercadorias, destinadas ao uso ou consumo pessoal, que os residentes da RAEM podem importar a partir da Zona do Posto Fronteiriço de Macau do Posto Fronteiriço Hengqin☯Stipulations on specific list of goods for personal use or consumption that can be brought back to Macao by residents of Macao Special Administrative Region through the Macao border checkpoint area of Hengqin port","訂定特定的澳門特別行政區居民可自橫琴口岸澳方口岸區進口的供個人自用或消費的貨物表.xlsx","12988","https://data.gov.mo/Detail?id=785db3bb-2def-424e-9f68-348659ab63e2","https://api.data.gov.mo/document/download/785db3bb-2def-424e-9f68-348659ab63e2?fileId=2422&isNeedFile=1&lang=TC"
"7e4b02aa-1c7a-406d-b4d1-eb34c60f3434","旅遊激勵計劃之統計☯旅游激励计划之统计☯Estatísticas do Plano de Apoioao Turismo☯Statistics of Travel Stimulation Program","dst_tsp_stat.xlsx","10700","https://data.gov.mo/Detail?id=7e4b02aa-1c7a-406d-b4d1-eb34c60f3434","https://api.data.gov.mo/document/download/7e4b02aa-1c7a-406d-b4d1-eb34c60f3434?fileId=1735&isNeedFile=1&lang=TC"
"8040df8c-3769-45d4-91a1-062263fbb56b","打擊非法入境(被捕非法入境者人數)☯打击非法入境(被捕非法入境者人数)☯Combate às actividades de imigração ilegal(Imigrantes ilegais detidos)☯Combating illegal immigration activities (Detained illegal immigrants)","打擊非法入境(被捕非法入境者人數).xlsx","8083","https://data.gov.mo/Detail?id=8040df8c-3769-45d4-91a1-062263fbb56b","https://api.data.gov.mo/document/download/8040df8c-3769-45d4-91a1-062263fbb56b?fileId=1095&isNeedFile=1&lang=TC"
"81e74759-a898-4875-b6f1-4572c3054229","旅遊行業培訓之統計☯旅游行业培训之统计☯Estatísticas de acções de formação☯Statistics of tourism industry training","dst_training_stat.xlsx","12380","https://data.gov.mo/Detail?id=81e74759-a898-4875-b6f1-4572c3054229","https://api.data.gov.mo/document/download/81e74759-a898-4875-b6f1-4572c3054229?fileId=1530&isNeedFile=1&lang=TC"
"85050aeb-957d-4057-98a2-2d9a0409c95e","澳門主要酒店業場所之無障礙旅遊設施列表☯澳门主要酒店业场所之无障碍旅游设施列表☯Guia de Turismo Livre de Barreiras - Estabelecimentos da Indústria Hoteleira☯Barrier-Free Access Guide - Establishments of Hotel Industry","dst_barrierfree_hotels.xml","12444","https://data.gov.mo/Detail?id=85050aeb-957d-4057-98a2-2d9a0409c95e","https://api.data.gov.mo/document/download/85050aeb-957d-4057-98a2-2d9a0409c95e?fileId=1931&isNeedFile=1&lang=TC"
